question,option_a,option_b,option_c,option_d,answer,hint,srno
In a lump sum contract the contractor agrees to execute a complete work,with all its contingencies in accordance with the drawings and specification for a fixed sum,without all its contingencies in accordance with the drawings and specification for a fixed sum,with all its contingencies without any drawings and specification for a fixed sum,without all its contingencies without any drawings and specification for a fixed sum,A,11.1.1,1.
A schedule of rates is specified in order to regulate,the amount to be added to or deducted from the fixed sum on account of additions and alterations covered by the contract,the amount to be added to or deducted from the fixed sum on account of additions and alterations not covered by the contract,the amount to be added to or deducted from the fixed sum on account of keeping the lump-sum contract within cost likely to incur under completed item of work,the amount to be added to or deducted from the fixed sum on account of contractor being defaulter.,B,11.1.1(i),2.
Under Lump-sum detailed measurements of the work done are not required to be recorded except in respect of,advance payment is made,additions and alterations,work executed is not as per drawing and specification,All of the above,B,11.1.1(ii),3.
The form of Lump-sum contract is prescribed by,Government in consultation with its Law Officers.,"before the form is finally determined, the advice of the office of the Chief Controller of Accounts should be sought on the question whether the form proposed meets the requirements of audit / inspection.",Both A&B,None of the given,C,11.1.2,4.
"Whenever the Lump-sum Contract agreement provides for intermediate payment, a certificate should be given by a responsible officer of Government not below the rank of",Junior Engineer,Divisional Officer,Senior Most Gazetted officer,Sub-divisional Officer,D,11.2.2,5.
In case where the certificate for intermediate payment on lump-sum contract is given by the Sub-divisional Officer,Divisional Officer will continue to be responsible for the correctness of payments,Divisional Accountant will continue to be responsible for the correctness of payments,Both A&B,Sub-Divisional Officer will continue to be responsible for the correctness of payments,A,11.2.2,6.
State whether true or false The Divisional Officer is required to specify in the bill the method employed by him in estimating the value of work done where making any intermediate payment on a lump-sum contract.,True,False,,,B,11.2.2 Note,7.
"In the case of final payments on a lump-sum contract, in addition to a record of detailed measurements in respect of additions and alterations, there should be a certificate of completion of the work according to the prescribed drawings and specification signed by the",Sub-Divisional Officer,Divisional officer,Contractor,All of the above,B,11.2.3,8.
"The execution of a work in a border State under the supervision of a responsible Civil Officer without the intervention of the Public Works Department,","a completion certificate signed by the Civil Officer concerned may be accepted, if he is empowered by the Administrative Ministry / Administrator concerned to sign it.",a completion certificate signed by the Civil Officer concerned and countersigned by Divisional Officer may be accepted,On the basis of information and connected document completion certificate shall be signed only the Divisional officer,Either A or B,A,11.2.3 Note,9.
Pick the Correct one:-,"No payment for additions and alterations shall be made before the completion of the work, even if the detailed measurements of them have been made and the contract provides for that.","payment for additions and alterations shall be made before the completion of the work, if the detailed measurements of them have been made and the contract provides for that.","payment for additions and alterations shall be made before the completion of the work, if the detailed measurements of them have been made and the contract provides for that provided that such payment does not exceed the amount involved in lump-sum contract.","payment for additions and alterations shall be made before the completion of the work, if the detailed measurements of them have been made and the contract provides for that provided that work under lumpsum contract is likely to completed within the same financial year.",B,11.2.4,10.
The forms of bills used for payments in connection with the lump sum contracts are Forms,CPWA 26 A and CPWA 27A,CPWA 26 B and CPWA 27B,CPWA 27 A and CPWA 27 B,"CPWA 24, CPWA 27 A and CPWA 27 B",C,11.3.1,11.
Form 27-A is intended for,intermediate payments on completed item of work,intermediate payments on lump-sum contract,Final Payment in respect of completed item of work,Final Payment in respect of lump-sum contract,B,11.3.2,12.
"When secured advances are allowed to a contractor on lump-sum contract, an indenture in Form 31, should invariably be obtained from the contractor and a detailed account of the materials should be kept in",Measurement Book,Part I of CPWA 27A,Part II of CPWA 27A,No detailed account of material to kept.,C,11.3.2,13.
The certificate on the basis which a secured advance is granted is printed,locally,at Sl. No. 3 of Part I of CPWA 27-A,at Sl. No. 3 of Part II of CPWA 27-A,at Sl. No. 3 of Part III of CPWA 27-A,D,11.3.2,14.
The certificate on the basis which a secured advance is granted must be signed by the officer,not below the rank of Sub divisional Officer,above the rank of Sub divisional Officer,not below the rank of divisional Officer,above the rank of divisional Officer,A,11.3.2,15.
Which is intended for final payments made to a contractor on lump-sum contract?,26A,27B,27A,26B,B,11.3.3,16.
"In respect of Lump-sum contract,",maintenance of Work abstract and Register of Work is not required,maintenance of Work abstract and Register of Work is required in the same manner as contract other than lump-sum contract.,Work abstract is not required to be maintained whereas Register of Work is required in the same manner as contract other than lump-sum contract.,Register of Work is not required to be maintained whereas Work abstract is required in the same manner as contract other than lump-sum contract.,B,11.4.1,17.
All ‘intermediate payments’ made to the contactor on lump-sum contract and so acknowledged by him are regarded as,advances payment,final payment,secured advance,loan and advances,A,11.4.2,18.
Payments for measured up additions and alterations under a lump-sum contract is treated in the account of the work as,On account Payment,Final Payment,Advance payment,Any of the given,C,11.4.3,19.
"State whether true or false If a percentage or any other portion of the value of works done is withheld as security for the due fulfilment of the terms of the contract, the gross amount before the deduction of the portion withheld should be entered as the advance payment.",True,False,,,B,11.4.3 Note Net Amount not Gross,20.
Value of materials supplied to the contractor or to others on his/her behalf on a lump-sum contract is debited to,Material,Additional charges for issue of material,Secured Advance,Contractor’s Other-Transaction,D,11.4.4,21.
Which column of Contractor’s Ledger CPWA 43 is intended to show the amount creditable to contractor’s account on account of the value of work done and not required to be posted in case of all intermediate payments on lump-sum contract?,Column No. 9,Column No. 8,Column No. 10,Column No. 7,A,11.5.2,22.
Column No. 10 Contractor’s Ledger need not be posted at all i.e.,Total amount paid,Total value of work or Supplies,debit,credit,B,11.5.2,23.
The first and last entry which will appear in this column No. 9 of Contractor’s Ledger will be the figure ‘F’ given in,Part I of the Running bill form 27A,Part I of the final bill form 27B,Part II of the Final bill form 27B,Part II of the Running bill form 27A,B,11.5.2,24.
