papercode,section,bookname,chapter,quizefile,displayfield,quizefile_old,author
PC02,Section II : General Financial Rules,DFPR 1978,All,fillers_pc_04_dfpr1978_all,DFPR 1978: All,fillers_pc08_dfpr1978_all,"Deepak Kumar Rahi
AAO (LAD, Patna, Bihar)"
PC02,Section II : General Financial Rules,GFR 2017,All,fillers_pc_04_gfr2017_all,GFR 2017: All,fillers_pc08_gfr2017_all,"Deepak Kumar Rahi
AAO (LAD, Patna, Bihar)"
PC02,Section II : General Financial Rules,R&P 1983,All,fillers_pc_04_rp1983_all,R&P 1983: All,fillers_pc08_rp1983_all,"Deepak Kumar Rahi
AAO (LAD, Patna, Bihar)"
PC02,Section III : Civil Accounts,MSO A&E V2,All,fillers_pc_04_msoae2_all,MSO A&E V2: All,fillers_pc08_msoae2_all,"Deepak Kumar Rahi
AAO (LAD, Patna, Bihar)"
PC02,Section III : Civil Accounts,CPWA Code,All,fillers_pc_04_cpwa_all,CPWA Code: All,fillers_pc16_cpwa_all,"Deepak Kumar Rahi
AAO (LAD, Patna, Bihar)"
